47615|Technology Development||Civil|University of South Florida, Institute of Applied Engineering (IAE).|1|Falcon 9/Sherpa FX|
47616|Technology Development||Civil|University of South Florida, Institute of Applied Engineering (IAE).|1|Falcon 9/Sherpa FX|
52161|Technology Demonstration||Military|Norwegian Defence Research Establishment|10|Falcon 9|Demonstrate UHF tactical communications in the North Sea and the Arctic region.
49403|Technology Development||Civil|Aoyama Gakuin University in Tokyo|1|H2A|Will attempt to detect transient astronomical events like gamma-ray bursts and transmit the data to the ground via a commercial communications satellite network.
47719|Earth Observation|Meteorology|Government|Naval Physical and Oceanographic Laboratory|2200|Soyuz-2.1b|Monitoring of environmental conditions, and also provide reliable communications and navigation across this inhospitable region.
43130|Technology Development||Commercial|Planetary Resources|10|PSLV|
40272|Communications||Commercial|ArSat|3000|Ariane 5 ECA|First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay.
40941|Communications||Commercial|ArSat|2977|Ariane 5 ECA|
48953|Earth Observation|Optical Imaging|Commercial|Aerospacelab|20|Falcon 9|https://www.nanosats.eu/sat/rrf1-arthur
47441|Earth Observation|Optical Imaging|Civil|Istanbul Technical University|5|Falcon 9|Take images and transmit it to a ground station via X-band transmitter.
35696|Communications||Commercial|Asia Satellite Telecommunications Co. Ltd.|3760|Breeze M|14 Ku-Band, 26 C-band, serving all of Asia.
40141|Communications||Commercial|Asia Satellite Telecommunications Co. Ltd.|3700|Falcon 9|14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.
37933|Communications||Commercial|Asia Satellite Telecommunications Co. Ltd.|3813|Proton M|28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.
40107|Communications||Commercial|Asia Satellite Telecommunications Co. Ltd.|4500|Falcon 9|24 Ku-band transponders.
42942|Communications||Commercial|Asia Satellite Telecommunications Co. Ltd.|6140|Proton|38 Ku-band, 28 C-band transponders.
26107|Communications||Commercial|1Worldspace|2775|Ariane 5G|Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.
40298|Earth Observation|Optical Imaging|Government|Japan Space Systems|500|Dnepr|Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).
43152|Earth Observation|Radar Imaging|Government|Japan Space Systems|570|Epsilon|X-band radar.
49397|Technology Development||Civil|Chiba Institute of Technology|4|H2A|Will unfurl a membrane-like structure to evaluate dust particles in orbit.
25071|Communications||Commercial|SES S.A.|3379|Proton K|Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe
